Name1,Name2,Name3,Price,Discount,Country,Producer,VendorCode,Weight,WeightUnit,Compound,Protein,Fat,Carbo,Portion,Guid,Adult,Link,CategoriesEnum
Салат Самое Время Свекольный,Салат Свёкольный 250 г,,2.13,,Республика Беларусь,Санта Бремор СП ООО,-1239761018,250,гр,Салат Свёкольный 250 г,,,,,91c07b79-2b33-4c10-8bad-6ffb61bdefc1,False,https://avatars.mds.yandex.net/get-eda/3547279/5fbec6fe5b3d452d4a320f4e0f89dd11/{w}x{h},
Напиток Альпро Миндальный,,,5.67,,Бельгия,"Алпро Ц.В.А., Вламингстраат 28, Б-8560 Вевеигем, Бельгия.",-895194396,1,л,"Делаешь первый шаг к здоровому образу жизни? Попробуй миндальный Alpro! Миндальный орех бережно обжаривается, раскрывая свой нежный ореховый вкус и сохраняя свою пользу. В миндале содержатся натуральные антиоксиданты и полезные ненасыщенные жиры.
",,,,,d41a3d8f-9caf-4788-a9f1-3810a45ff60c,False,https://avatars.mds.yandex.net/get-eda/3808326/217ae593ecc39e74586ede1398bcec2c/{w}x{h},
Напиток Альпро Бариста Миндальный,,,5.16,,Россия,Данон,-899818292,1,л,"Просто представь, как твой любимый кофе покрывает пышная пенка миндального Alpro Barista! Он разработан для истинных кофеманов. Можешь не сомневаться - он отлично подходит и для приготовления домашнего кофе с пенкой, и для латте-арта в кофейне. 
",,,,,0426b0c0-24d4-4ee0-ac1e-9edb9d10d7b5,False,https://avatars.mds.yandex.net/get-eda/3337779/8c185dac9cceed50dc1f67fc1cb26b02/{w}x{h},
Напиток Овсяный Немолоко Шоколадный,Напиток Овсяный Немолоко Шоколадный 1л,,5.83,,Россия,Сады Придонья ОАО,-895194864,1,л,,,,,,e5077b4a-05fb-40a9-a03f-48c06451e3db,False,https://avatars.mds.yandex.net/get-eda/3504598/9c810d1f1bac160c6bcb8433567bf39e/{w}x{h},
Напиток Овсяный Немолоко Классический Лайт,Напиток Овсяный Немолоко Классический Лайт 1л,,5.34,,Россия,Сады Придонья ОАО,-895194148,1,л,,,,,,554517a3-e344-4e15-bdb5-9149d5ae04eb,False,https://avatars.mds.yandex.net/get-eda/3798638/9f041b0ce990e2bbfadf510b86a70b4e/{w}x{h},
Молоко Кокосовое Де Сиам Кокосовый Крем,"Кокосовое молоко, deSIAM, Кокосовый крем, ж/б, 165 мл ",,6.92,,Таиланд,Desiam Cuisine Co Ltd,-899762903,165,мл,"Кокосовое молоко, deSIAM, Кокосовый крем, ж/б, 165 мл ",,,,,8bdc73b4-1233-4e8b-b8ff-957e4b49bc1e,False,https://avatars.mds.yandex.net/get-eda/3529621/6ab9acec2723f7e959ad05f8f4afe0e2/{w}x{h},
Молоко Кокосовое Де Сиам,,,10.50,,Таиланд,Desiam Cuisine Co Ltd,-899818268,400,мл,"Кокосовое молоко, deSIAM, «Коконут милк» продукт консервированный из ядра кокоса , ж/б, 400 мл,",,,,,fafed913-41c1-4579-b457-707d4a298e59,False,https://avatars.mds.yandex.net/get-eda/3512182/a7a2881ac52ba6f43d727c6cadbd91d8/{w}x{h},
Крем Творожный Красная Рыба,Крем Творожный Красная Рыба 120гр,,2.76,,Республика Беларусь,Азбука Сыра ООО,-895195183,120,гр,Крем Творожный Красная Рыба 120гр,,,,,ed381f15-8d5d-4fe9-9684-23de67c48e10,False,https://avatars.mds.yandex.net/get-eda/3798638/b11570ed77725dc3ed0eb20f18bd13fe/{w}x{h},
Сливки Простоквашино Ультрапастеризованные 20%,,,5.90,,Беларусь,"СООО ""Данон Пружаны"", 225133, Брестская обл, г. Пружаны, ул. Горина-Коляды, 26а, Республика Беларусь",-899762691,350,гр,"Сливки ""Простоквашино"" изготавливаются из 100 % натурального молока и отлично подходят для приготовления крем-супов, подлив, соусов, не образуют комочков.
",,,,,70ac30f6-daf1-4469-b598-af99e9a2131d,False,https://avatars.mds.yandex.net/get-eda/3813301/43ec5161d60cb2a3083e3f75b8ecc68a/{w}x{h},
Сливки Ультапастерилизованные 20%,Сливки Ультапастерилизованные 20% 500гр,,5.81,,Республика Беларусь,Милкавита ОАО,-895194344,500,гр,,,,,,b09523d9-2853-4fe5-8b2e-0c44fbf9e028,False,https://avatars.mds.yandex.net/get-eda/3538649/9ec69cd74bb746cd803bf3041e4d1b46/{w}x{h},
